Threshold Sweep (analysis)
percentile | threshold | F1 | Precision | Recall | TN | FP | FN | TP
 70.0% | thr=0.01889899 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 71.0% | thr=0.01948552 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 72.0% | thr=0.02003089 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 73.0% | thr=0.02060223 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 74.0% | thr=0.02123483 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 75.0% | thr=0.02189633 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 76.0% | thr=0.02249353 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 77.0% | thr=0.02312228 | F1=0.524 | Prec=0.355 | Rec=1.000 | TN=0 | FP=1705 | FN=0 | TP=940
 78.0% | thr=0.02377212 | F1=0.525 | Prec=0.356 | Rec=1.000 | TN=3 | FP=1702 | FN=0 | TP=940
 79.0% | thr=0.02445083 | F1=0.526 | Prec=0.357 | Rec=1.000 | TN=10 | FP=1695 | FN=0 | TP=940
 80.0% | thr=0.02517993 | F1=0.533 | Prec=0.364 | Rec=1.000 | TN=61 | FP=1644 | FN=0 | TP=940
 81.0% | thr=0.02597217 | F1=0.548 | Prec=0.377 | Rec=1.000 | TN=152 | FP=1553 | FN=0 | TP=940
 82.0% | thr=0.02680433 | F1=0.575 | Prec=0.403 | Rec=1.000 | TN=313 | FP=1392 | FN=0 | TP=940
 83.0% | thr=0.02779418 | F1=0.628 | Prec=0.458 | Rec=1.000 | TN=591 | FP=1114 | FN=0 | TP=940
 84.0% | thr=0.02876942 | F1=0.681 | Prec=0.516 | Rec=1.000 | TN=824 | FP=881 | FN=0 | TP=940
 85.0% | thr=0.02984578 | F1=0.719 | Prec=0.562 | Rec=1.000 | TN=971 | FP=734 | FN=0 | TP=940
 86.0% | thr=0.03116475 | F1=0.758 | Prec=0.610 | Rec=1.000 | TN=1104 | FP=601 | FN=0 | TP=940
 87.0% | thr=0.03269877 | F1=0.791 | Prec=0.654 | Rec=1.000 | TN=1208 | FP=497 | FN=0 | TP=940
 88.0% | thr=0.03456486 | F1=0.802 | Prec=0.669 | Rec=1.000 | TN=1240 | FP=465 | FN=0 | TP=940
 89.0% | thr=0.03716507 | F1=0.825 | Prec=0.703 | Rec=0.998 | TN=1308 | FP=397 | FN=2 | TP=938
 90.0% | thr=0.04275556 | F1=0.875 | Prec=0.782 | Rec=0.994 | TN=1445 | FP=260 | FN=6 | TP=934
 91.0% | thr=0.04752843 | F1=0.919 | Prec=0.855 | Rec=0.993 | TN=1547 | FP=158 | FN=7 | TP=933
 92.0% | thr=0.05485674 | F1=0.922 | Prec=0.901 | Rec=0.944 | TN=1608 | FP=97 | FN=53 | TP=887
 93.0% | thr=0.05994506 | F1=0.861 | Prec=0.900 | Rec=0.826 | TN=1619 | FP=86 | FN=164 | TP=776
 94.0% | thr=0.06597001 | F1=0.076 | Prec=0.367 | Rec=0.043 | TN=1636 | FP=69 | FN=900 | TP=40
 95.0% | thr=0.07217077 | F1=0.060 | Prec=0.313 | Rec=0.033 | TN=1637 | FP=68 | FN=909 | TP=31
 96.0% | thr=0.08304786 | F1=0.060 | Prec=0.320 | Rec=0.033 | TN=1639 | FP=66 | FN=909 | TP=31
 97.0% | thr=0.10107730 | F1=0.057 | Prec=0.372 | Rec=0.031 | TN=1656 | FP=49 | FN=911 | TP=29
 98.0% | thr=0.13195390 | F1=0.054 | Prec=0.429 | Rec=0.029 | TN=1669 | FP=36 | FN=913 | TP=27
 99.0% | thr=0.23615525 | F1=0.021 | Prec=0.385 | Rec=0.011 | TN=1689 | FP=16 | FN=930 | TP=10
 99.5% | thr=0.33192129 | F1=0.000 | Prec=0.000 | Rec=0.000 | TN=1703 | FP=2 | FN=940 | TP=0
