Sample,X(ms) [02.01.2012 05:41:58 937 UTC],DB_Measuring.CycleTime_ms
11263,1.32548E+12,33
11264,1.32548E+12,458
11265,1.32548E+12,441
11266,1.32548E+12,457
11267,1.32548E+12,441
11268,1.32548E+12,463
11269,1.32548E+12,475
11270,1.32548E+12,449
11271,1.32548E+12,447
11272,1.32548E+12,448
11273,1.32548E+12,441
11274,1.32548E+12,452
11275,1.32548E+12,443
11276,1.32548E+12,446
11277,1.32548E+12,448
11278,1.32548E+12,449
11279,1.32548E+12,444
11280,1.32548E+12,450
11281,1.32548E+12,441
11282,1.32548E+12,452
11283,1.32548E+12,441
11284,1.32548E+12,448
11285,1.32548E+12,446
11286,1.32548E+12,449
11287,1.32548E+12,439
11288,1.32548E+12,453
11289,1.32548E+12,442
11290,1.32548E+12,448
11291,1.32548E+12,443
11292,1.32548E+12,447
11293,1.32548E+12,446
11294,1.32548E+12,447
11295,1.32548E+12,438
11296,1.32548E+12,451
11297,1.32548E+12,441
11298,1.32548E+12,447
11299,1.32548E+12,446
11300,1.32548E+12,448
11301,1.32548E+12,439
11302,1.32548E+12,452
11303,1.32548E+12,438
11304,1.32548E+12,452
11305,1.32548E+12,442
11306,1.32548E+12,447
11307,1.32548E+12,446
11308,1.32548E+12,449
11309,1.32548E+12,440
11310,1.32548E+12,452
11311,1.32548E+12,442
11312,1.32548E+12,448
11313,1.32548E+12,445
11314,1.32548E+12,448
11315,1.32548E+12,443
11316,1.32548E+12,453
11317,1.32548E+12,440
11318,1.32548E+12,453
11319,1.32548E+12,441
11320,1.32548E+12,448
11321,1.32548E+12,447
11322,1.32548E+12,447
11323,1.32548E+12,443
11324,1.32548E+12,452
11325,1.32548E+12,442
11326,1.32548E+12,452
11327,1.32548E+12,443
11328,1.32548E+12,448
11329,1.32548E+12,446
11330,1.32548E+12,448
11331,1.32548E+12,443
11332,1.32548E+12,453
11333,1.32548E+12,442
11334,1.32548E+12,451
11335,1.32548E+12,444
11336,1.32548E+12,448
11337,1.32548E+12,447
11338,1.32548E+12,448
11339,1.32548E+12,439
11340,1.32548E+12,453
11341,1.32548E+12,440
11342,1.32548E+12,449
11343,1.32548E+12,447
11344,1.32548E+12,448
11345,1.32548E+12,445
11346,1.32548E+12,449
11347,1.32548E+12,438
11348,1.32548E+12,452
11349,1.32548E+12,440
11350,1.32548E+12,447
11351,1.32548E+12,445
11352,1.32548E+12,445
11353,1.32548E+12,442
11354,1.32548E+12,453
11355,1.32548E+12,440
11356,1.32548E+12,448
11357,1.32548E+12,445
11358,1.32548E+12,446
11359,1.32548E+12,444
11360,1.32548E+12,450
11361,1.32548E+12,441
11362,1.32548E+12,453
11363,1.32548E+12,440
11364,1.32548E+12,448
11365,1.32548E+12,447
11366,1.32548E+12,447
11367,1.32548E+12,442
11368,1.32548E+12,453
11369,1.32548E+12,442
11370,1.32548E+12,450
11371,1.32548E+12,444
11372,1.32548E+12,448
11373,1.32548E+12,446
11374,1.32548E+12,449
11375,1.32548E+12,441
11376,1.32548E+12,450
11377,1.32548E+12,443
11378,1.32548E+12,448
11379,1.32548E+12,448
11380,1.32548E+12,447
11381,1.32548E+12,444
11382,1.32548E+12,450
11383,1.32548E+12,445
11384,1.32548E+12,449
11385,1.32548E+12,445
11386,1.32548E+12,446
11387,1.32548E+12,451
11388,1.32548E+12,445
11389,1.32548E+12,445
11390,1.32548E+12,450
11391,1.32548E+12,443
11392,1.32548E+12,446
11393,1.32548E+12,448
11394,1.32548E+12,445
11395,1.32548E+12,446
11396,1.32548E+12,449
11397,1.32548E+12,443
11398,1.32548E+12,452
11399,1.32548E+12,444
11400,1.32548E+12,446
11401,1.32548E+12,448
11402,1.32548E+12,446
11403,1.32548E+12,441
11404,1.32548E+12,451
11405,1.32548E+12,442
11406,1.32548E+12,446
11407,1.32548E+12,445
11408,1.32548E+12,443
11409,1.32548E+12,447
11410,1.32548E+12,447
11411,1.32548E+12,442
11412,1.32548E+12,451
11413,1.32548E+12,442
11414,1.32548E+12,444
11415,1.32548E+12,449
11416,1.32548E+12,445
11417,1.32548E+12,442
11418,1.32548E+12,450
11419,1.32548E+12,443
11420,1.32548E+12,449
11421,1.32548E+12,446
11422,1.32548E+12,444
11423,1.32548E+12,450
11424,1.32548E+12,446
11425,1.32548E+12,444
11426,1.32548E+12,453
11427,1.32548E+12,442
11428,1.32548E+12,446
11429,1.32548E+12,450
11430,1.32548E+12,446
11431,1.32548E+12,446
11432,1.32548E+12,450
11433,1.32548E+12,442
11434,1.32548E+12,453
11435,1.32548E+12,444
11436,1.32548E+12,446
11437,1.32548E+12,449
11438,1.32548E+12,446
11439,1.32548E+12,444
11440,1.32548E+12,450
11441,1.32548E+12,443
11442,1.32548E+12,447
11443,1.32548E+12,449
11444,1.32548E+12,444
11445,1.32548E+12,448
11446,1.32548E+12,447
11447,1.32548E+12,443
11448,1.32548E+12,452
11449,1.32548E+12,443
11450,1.32548E+12,446
11451,1.32548E+12,450
11452,1.32548E+12,445
11453,1.32548E+12,443
11454,1.32548E+12,451
11455,1.32548E+12,443
11456,1.32548E+12,446
11457,1.32548E+12,446
11458,1.32548E+12,444
11459,1.32548E+12,447
11460,1.32548E+12,447
11461,1.32548E+12,443
11462,1.32548E+12,450
11463,1.32548E+12,440
11464,1.32548E+12,444
11465,1.32548E+12,449
11466,1.32548E+12,446
11467,1.32548E+12,441
11468,1.32548E+12,451
11469,1.32548E+12,443
11470,1.32548E+12,449
11471,1.32548E+12,442
11472,1.32548E+12,443
11473,1.32548E+12,448
11474,1.32548E+12,446
11475,1.32548E+12,443
11476,1.32548E+12,450
11477,1.32548E+12,443
11478,1.32548E+12,447
11479,1.32548E+12,447
11480,1.32548E+12,445
11481,1.32548E+12,448
11482,1.32548E+12,446
11483,1.32548E+12,442
11484,1.32548E+12,451
11485,1.32548E+12,443
11486,1.32548E+12,447
11487,1.32548E+12,448
11488,1.32548E+12,446
11489,1.32548E+12,444
11490,1.32548E+12,452
11491,1.32548E+12,443
11492,1.32548E+12,450
11493,1.32548E+12,445
11494,1.32548E+12,446
11495,1.32548E+12,448
11496,1.32548E+12,447
11497,1.32548E+12,442
11498,1.32548E+12,452
11499,1.32548E+12,442
11500,1.32548E+12,446
11501,1.32548E+12,450
11502,1.32548E+12,446
11503,1.32548E+12,446
11504,1.32548E+12,449
11505,1.32548E+12,443
11506,1.32548E+12,452
11507,1.32548E+12,444
11508,1.32548E+12,444
11509,1.32548E+12,450
11510,1.32548E+12,446
11511,1.32548E+12,442
11512,1.32548E+12,452
11513,1.32548E+12,439
11514,1.32548E+12,449
