Sample,X(ms) [10.12.2025 19:31:11 755 UTC],DB_Measuring.CycleTime_ms
5711,1.7654E+12,67
5712,1.7654E+12,68
5713,1.7654E+12,64
5714,1.7654E+12,63
5715,1.7654E+12,64
5716,1.7654E+12,63
5717,1.7654E+12,64
5718,1.7654E+12,67
5719,1.7654E+12,64
5720,1.7654E+12,63
5721,1.7654E+12,62
5722,1.7654E+12,65
5723,1.7654E+12,67
5724,1.7654E+12,63
5725,1.7654E+12,64
5726,1.7654E+12,64
5727,1.7654E+12,64
5728,1.7654E+12,64
5729,1.7654E+12,64
5730,1.7654E+12,65
5731,1.7654E+12,63
5732,1.7654E+12,64
5733,1.7654E+12,63
5734,1.7654E+12,65
5735,1.7654E+12,63
5736,1.7654E+12,66
5737,1.7654E+12,65
5738,1.7654E+12,65
5739,1.7654E+12,63
5740,1.7654E+12,63
5741,1.7654E+12,63
5742,1.7654E+12,65
5743,1.7654E+12,65
5744,1.7654E+12,64
5745,1.7654E+12,65
5746,1.7654E+12,67
5747,1.7654E+12,67
5748,1.7654E+12,62
5749,1.7654E+12,63
5750,1.7654E+12,63
5751,1.7654E+12,63
5752,1.7654E+12,65
5753,1.7654E+12,64
5754,1.7654E+12,64
5755,1.7654E+12,63
5756,1.7654E+12,63
5757,1.7654E+12,63
5758,1.7654E+12,62
5759,1.7654E+12,65
5760,1.7654E+12,65
5761,1.7654E+12,65
5762,1.7654E+12,64
5763,1.7654E+12,63
5764,1.7654E+12,63
5765,1.7654E+12,65
5766,1.7654E+12,63
5767,1.7654E+12,64
5768,1.7654E+12,63
5769,1.7654E+12,62
5770,1.7654E+12,63
5771,1.7654E+12,64
5772,1.7654E+12,64
5773,1.7654E+12,66
5774,1.7654E+12,64
5775,1.7654E+12,63
5776,1.7654E+12,65
5777,1.7654E+12,66
5778,1.7654E+12,63
5779,1.7654E+12,62
5780,1.7654E+12,62
5781,1.7654E+12,62
5782,1.7654E+12,63
5783,1.7654E+12,64
5784,1.7654E+12,64
5785,1.7654E+12,63
5786,1.7654E+12,62
5787,1.7654E+12,66
5788,1.7654E+12,64
5789,1.7654E+12,66
5790,1.7654E+12,63
5791,1.7654E+12,64
5792,1.7654E+12,64
5793,1.7654E+12,63
5794,1.7654E+12,64
5795,1.7654E+12,65
5796,1.7654E+12,64
5797,1.7654E+12,62
5798,1.7654E+12,62
5799,1.7654E+12,63
5800,1.7654E+12,63
5801,1.7654E+12,64
5802,1.7654E+12,64
5803,1.7654E+12,64
5804,1.7654E+12,63
5805,1.7654E+12,63
5806,1.7654E+12,63
5807,1.7654E+12,63
5808,1.7654E+12,63
5809,1.7654E+12,62
5810,1.7654E+12,63
5811,1.7654E+12,65
5812,1.7654E+12,65
5813,1.7654E+12,62
5814,1.7654E+12,63
5815,1.7654E+12,62
5816,1.7654E+12,62
5817,1.7654E+12,62
5818,1.7654E+12,65
5819,1.7654E+12,61
5820,1.7654E+12,64
5821,1.7654E+12,63
5822,1.7654E+12,64
5823,1.7654E+12,65
5824,1.7654E+12,64
5825,1.7654E+12,63
5826,1.7654E+12,64
5827,1.7654E+12,65
5828,1.7654E+12,65
5829,1.7654E+12,62
5830,1.7654E+12,62
5831,1.7654E+12,62
5832,1.7654E+12,63
5833,1.7654E+12,65
5834,1.7654E+12,65
5835,1.7654E+12,63
5836,1.7654E+12,66
5837,1.7654E+12,65
5838,1.7654E+12,64
5839,1.7654E+12,61
5840,1.7654E+12,63
5841,1.7654E+12,62
5842,1.7654E+12,61
5843,1.7654E+12,61
5844,1.7654E+12,62
5845,1.7654E+12,65
5846,1.7654E+12,63
5847,1.7654E+12,64
5848,1.7654E+12,64
5849,1.7654E+12,62
5850,1.7654E+12,65
5851,1.7654E+12,65
5852,1.7654E+12,64
5853,1.7654E+12,64
5854,1.7654E+12,64
5855,1.7654E+12,63
5856,1.7654E+12,62
5857,1.7654E+12,65
5858,1.7654E+12,64
5859,1.7654E+12,64
5860,1.7654E+12,63
5861,1.7654E+12,63
5862,1.7654E+12,63
5863,1.7654E+12,62
5864,1.7654E+12,63
5865,1.7654E+12,61
5866,1.7654E+12,67
5867,1.7654E+12,65
5868,1.7654E+12,63
5869,1.7654E+12,63
5870,1.7654E+12,63
5871,1.7654E+12,63
5872,1.7654E+12,63
5873,1.7654E+12,64
5874,1.7654E+12,65
5875,1.7654E+12,63
5876,1.7654E+12,63
5877,1.7654E+12,63
5878,1.7654E+12,63
5879,1.7654E+12,63
5880,1.7654E+12,62
5881,1.7654E+12,62
5882,1.7654E+12,62
5883,1.7654E+12,62
5884,1.7654E+12,63
5885,1.7654E+12,64
5886,1.7654E+12,65
5887,1.7654E+12,65
5888,1.7654E+12,65
5889,1.7654E+12,65
5890,1.7654E+12,64
5891,1.7654E+12,65
5892,1.7654E+12,63
5893,1.7654E+12,63
5894,1.7654E+12,64
5895,1.7654E+12,66
5896,1.7654E+12,66
5897,1.7654E+12,65
5898,1.7654E+12,63
5899,1.7654E+12,65
5900,1.7654E+12,62
5901,1.7654E+12,65
5902,1.7654E+12,65
5903,1.7654E+12,62
5904,1.7654E+12,63
5905,1.7654E+12,61
5906,1.7654E+12,63
5907,1.7654E+12,62
5908,1.7654E+12,64
5909,1.7654E+12,62
5910,1.7654E+12,65
5911,1.7654E+12,61
5912,1.7654E+12,66
5913,1.7654E+12,63
5914,1.7654E+12,63
5915,1.7654E+12,63
5916,1.7654E+12,61
5917,1.7654E+12,64
5918,1.7654E+12,64
5919,1.7654E+12,64
5920,1.7654E+12,62
5921,1.7654E+12,62
5922,1.7654E+12,61
5923,1.7654E+12,62
5924,1.7654E+12,64
5925,1.7654E+12,66
5926,1.7654E+12,65
5927,1.7654E+12,65
5928,1.7654E+12,63
5929,1.7654E+12,64
5930,1.7654E+12,64
5931,1.7654E+12,63
5932,1.7654E+12,63
5933,1.7654E+12,63
5934,1.7654E+12,62
5935,1.7654E+12,64
5936,1.7654E+12,62
5937,1.7654E+12,64
5938,1.7654E+12,67
5939,1.7654E+12,61
5940,1.7654E+12,63
5941,1.7654E+12,62
5942,1.7654E+12,63
5943,1.7654E+12,64
5944,1.7654E+12,62
5945,1.7654E+12,65
5946,1.7654E+12,66
5947,1.7654E+12,65
5948,1.7654E+12,63
5949,1.7654E+12,65
5950,1.7654E+12,64
5951,1.7654E+12,64
5952,1.7654E+12,64
5953,1.7654E+12,66
5954,1.7654E+12,66
5955,1.7654E+12,64
5956,1.7654E+12,65
5957,1.7654E+12,65
5958,1.7654E+12,63
5959,1.7654E+12,62
5960,1.7654E+12,63
5961,1.7654E+12,64
5962,1.7654E+12,64
5963,1.7654E+12,63
5964,1.7654E+12,62
5965,1.7654E+12,63
5966,1.7654E+12,63
5967,1.7654E+12,64
5968,1.7654E+12,67
5969,1.7654E+12,64
5970,1.7654E+12,66
5971,1.7654E+12,62
5972,1.7654E+12,67
5973,1.7654E+12,64
5974,1.7654E+12,66
5975,1.7654E+12,64
5976,1.7654E+12,63
5977,1.7654E+12,64
5978,1.7654E+12,64
5979,1.7654E+12,63
5980,1.7654E+12,61
5981,1.7654E+12,63
5982,1.7654E+12,64
5983,1.7654E+12,63
5984,1.7654E+12,65
5985,1.7654E+12,63
5986,1.7654E+12,62
5987,1.7654E+12,64
5988,1.7654E+12,66
5989,1.7654E+12,62
5990,1.7654E+12,64
5991,1.7654E+12,63
5992,1.7654E+12,64
5993,1.7654E+12,63
5994,1.7654E+12,63
5995,1.7654E+12,63
5996,1.7654E+12,64
5997,1.7654E+12,64
5998,1.7654E+12,65
5999,1.7654E+12,64
6000,1.7654E+12,64
6001,1.7654E+12,64
6002,1.7654E+12,67
6003,1.7654E+12,64
6004,1.7654E+12,66
6005,1.7654E+12,63
6006,1.7654E+12,63
6007,1.7654E+12,65
6008,1.7654E+12,63
6009,1.7654E+12,64
6010,1.7654E+12,60
6011,1.7654E+12,64
6012,1.7654E+12,67
6013,1.7654E+12,65
6014,1.7654E+12,64
6015,1.7654E+12,63
6016,1.7654E+12,64
6017,1.7654E+12,64
6018,1.7654E+12,64
6019,1.7654E+12,64
6020,1.7654E+12,64
6021,1.7654E+12,64
6022,1.7654E+12,65
6023,1.7654E+12,64
6024,1.7654E+12,62
6025,1.7654E+12,61
6026,1.7654E+12,63
6027,1.7654E+12,63
6028,1.7654E+12,62
6029,1.7654E+12,65
6030,1.7654E+12,65
6031,1.7654E+12,65
6032,1.7654E+12,64
6033,1.7654E+12,65
6034,1.7654E+12,63
6035,1.7654E+12,64
6036,1.7654E+12,64
6037,1.7654E+12,65
6038,1.7654E+12,64
