Sample,X(ms) [08.01.2012 09:36:33 276 UTC],DB_Measuring.CycleTime_ms
5903,1.32602E+12,65
5904,1.32602E+12,58
5905,1.32602E+12,53
5906,1.32602E+12,46
5907,1.32602E+12,55
5908,1.32602E+12,54
5909,1.32602E+12,52
5910,1.32602E+12,44
5911,1.32602E+12,60
5912,1.32602E+12,52
5913,1.32602E+12,47
5914,1.32602E+12,54
5915,1.32602E+12,57
5916,1.32602E+12,45
5917,1.32602E+12,58
5918,1.32602E+12,52
5919,1.32602E+12,47
5920,1.32602E+12,53
5921,1.32602E+12,51
5922,1.32602E+12,45
5923,1.32602E+12,58
5924,1.32602E+12,57
5925,1.32602E+12,46
5926,1.32602E+12,50
5927,1.32602E+12,55
5928,1.32602E+12,44
5929,1.32602E+12,54
5930,1.32602E+12,52
5931,1.32602E+12,59
5932,1.32602E+12,45
5933,1.32602E+12,52
5934,1.32602E+12,52
5935,1.32602E+12,44
5936,1.32602E+12,55
5937,1.32602E+12,59
5938,1.32602E+12,46
5939,1.32602E+12,53
5940,1.32602E+12,58
5941,1.32602E+12,46
5942,1.32602E+12,55
5943,1.32602E+12,59
5944,1.32602E+12,53
5945,1.32602E+12,52
5946,1.32602E+12,58
5947,1.32602E+12,61
5948,1.32602E+12,45
5949,1.32602E+12,79
5950,1.32602E+12,52
5951,1.32602E+12,52
5952,1.32602E+12,47
5953,1.32602E+12,53
5954,1.32602E+12,45
5955,1.32602E+12,52
5956,1.32602E+12,47
5957,1.32602E+12,59
5958,1.32602E+12,53
5959,1.32602E+12,48
5960,1.32602E+12,53
5961,1.32602E+12,55
5962,1.32602E+12,54
5963,1.32602E+12,49
5964,1.32602E+12,55
5965,1.32602E+12,52
5966,1.32602E+12,46
5967,1.32602E+12,51
5968,1.32602E+12,54
5969,1.32602E+12,45
5970,1.32602E+12,49
5971,1.32602E+12,52
5972,1.32602E+12,47
5973,1.32602E+12,53
5974,1.32602E+12,55
5975,1.32602E+12,43
5976,1.32602E+12,59
5977,1.32602E+12,53
5978,1.32602E+12,44
5979,1.32602E+12,52
5980,1.32602E+12,56
5981,1.32602E+12,45
5982,1.32602E+12,53
5983,1.32602E+12,48
5984,1.32602E+12,58
5985,1.32602E+12,55
5986,1.32602E+12,47
5987,1.32602E+12,53
5988,1.32602E+12,55
5989,1.32602E+12,53
5990,1.32602E+12,49
5991,1.32602E+12,52
5992,1.32602E+12,48
5993,1.32602E+12,54
5994,1.32602E+12,53
5995,1.32602E+12,45
5996,1.32602E+12,59
5997,1.32602E+12,53
5998,1.32602E+12,46
5999,1.32602E+12,53
6000,1.32602E+12,46
6001,1.32602E+12,54
6002,1.32602E+12,53
6003,1.32602E+12,57
6004,1.32602E+12,46
6005,1.32602E+12,54
6006,1.32602E+12,53
6007,1.32602E+12,53
6008,1.32602E+12,48
6009,1.32602E+12,61
6010,1.32602E+12,53
6011,1.32602E+12,46
6012,1.32602E+12,55
6013,1.32602E+12,49
6014,1.32602E+12,48
6015,1.32602E+12,56
6016,1.32602E+12,47
6017,1.32602E+12,53
6018,1.32602E+12,53
6019,1.32602E+12,43
6020,1.32602E+12,55
