Sample,X(ms) [08.12.2025 21:14:32 772 UTC],DB_Measuring.CycleTime_ms
3975,1.76523E+12,4
3976,1.76523E+12,5
3977,1.76523E+12,5
3978,1.76523E+12,5
3979,1.76523E+12,5
3980,1.76523E+12,6
3981,1.76523E+12,6
3982,1.76523E+12,6
3983,1.76523E+12,6
3984,1.76523E+12,6
3985,1.76523E+12,7
3986,1.76523E+12,6
3987,1.76523E+12,6
3988,1.76523E+12,6
3989,1.76523E+12,7
3990,1.76523E+12,6
3991,1.76523E+12,6
3992,1.76523E+12,6
3993,1.76523E+12,6
3994,1.76523E+12,6
3995,1.76523E+12,6
3996,1.76523E+12,6
3997,1.76523E+12,6
3998,1.76523E+12,6
3999,1.76523E+12,6
4000,1.76523E+12,6
4001,1.76523E+12,6
4002,1.76523E+12,6
4003,1.76523E+12,6
4004,1.76523E+12,7
4005,1.76523E+12,6
4006,1.76523E+12,6
4007,1.76523E+12,6
4008,1.76523E+12,6
4009,1.76523E+12,7
4010,1.76523E+12,5
4011,1.76523E+12,5
4012,1.76523E+12,5
4013,1.76523E+12,5
4014,1.76523E+12,5
4015,1.76523E+12,5
4016,1.76523E+12,6
4017,1.76523E+12,6
4018,1.76523E+12,6
4019,1.76523E+12,6
4020,1.76523E+12,5
4021,1.76523E+12,5
4022,1.76523E+12,5
4023,1.76523E+12,5
4024,1.76523E+12,6
4025,1.76523E+12,7
4026,1.76523E+12,6
4027,1.76523E+12,7
4028,1.76523E+12,6
4029,1.76523E+12,6
4030,1.76523E+12,6
4031,1.76523E+12,6
4032,1.76523E+12,6
4033,1.76523E+12,6
4034,1.76523E+12,6
4035,1.76523E+12,6
4036,1.76523E+12,6
4037,1.76523E+12,6
4038,1.76523E+12,5
4039,1.76523E+12,6
4040,1.76523E+12,5
4041,1.76523E+12,6
4042,1.76523E+12,6
4043,1.76523E+12,6
4044,1.76523E+12,6
4045,1.76523E+12,6
4046,1.76523E+12,7
4047,1.76523E+12,5
4048,1.76523E+12,5
4049,1.76523E+12,5
4050,1.76523E+12,5
4051,1.76523E+12,5
4052,1.76523E+12,6
4053,1.76523E+12,8
4054,1.76523E+12,7
4055,1.76523E+12,7
4056,1.76523E+12,6
4057,1.76523E+12,6
4058,1.76523E+12,6
4059,1.76523E+12,5
4060,1.76523E+12,5
4061,1.76523E+12,6
4062,1.76523E+12,6
4063,1.76523E+12,6
4064,1.76523E+12,6
4065,1.76523E+12,6
4066,1.76523E+12,6
4067,1.76523E+12,6
4068,1.76523E+12,6
4069,1.76523E+12,6
4070,1.76523E+12,5
4071,1.76523E+12,5
4072,1.76523E+12,5
4073,1.76523E+12,5
4074,1.76523E+12,5
4075,1.76523E+12,6
4076,1.76523E+12,5
4077,1.76523E+12,5
4078,1.76523E+12,5
4079,1.76523E+12,5
4080,1.76523E+12,5
4081,1.76523E+12,5
4082,1.76523E+12,5
4083,1.76523E+12,5
4084,1.76523E+12,6
4085,1.76523E+12,5
4086,1.76523E+12,5
4087,1.76523E+12,6
4088,1.76523E+12,6
4089,1.76523E+12,6
4090,1.76523E+12,6
4091,1.76523E+12,5
4092,1.76523E+12,6
4093,1.76523E+12,6
4094,1.76523E+12,5
4095,1.76523E+12,6
4096,1.76523E+12,5
4097,1.76523E+12,5
4098,1.76523E+12,6
