Sample,X(ms) [07.01.2012 19:18:03 740 UTC],DB_Measuring.CycleTime_ms
5497,1.32596E+12,223
5498,1.32596E+12,204
5499,1.32596E+12,208
5500,1.32596E+12,200
5501,1.32596E+12,208
5502,1.32596E+12,204
5503,1.32596E+12,212
5504,1.32596E+12,205
5505,1.32596E+12,206
5506,1.32596E+12,218
5507,1.32596E+12,242
5508,1.32596E+12,203
5509,1.32596E+12,211
5510,1.32596E+12,202
5511,1.32596E+12,208
5512,1.32596E+12,205
5513,1.32596E+12,205
5514,1.32596E+12,208
5515,1.32596E+12,212
5516,1.32596E+12,201
5517,1.32596E+12,209
5518,1.32596E+12,200
5519,1.32596E+12,211
5520,1.32596E+12,207
5521,1.32596E+12,207
5522,1.32596E+12,205
5523,1.32596E+12,210
5524,1.32596E+12,200
5525,1.32596E+12,209
5526,1.32596E+12,208
5527,1.32596E+12,207
5528,1.32596E+12,206
5529,1.32596E+12,205
5530,1.32596E+12,205
5531,1.32596E+12,205
5532,1.32596E+12,209
5533,1.32596E+12,211
5534,1.32596E+12,199
5535,1.32596E+12,209
5536,1.32596E+12,207
5537,1.32596E+12,205
5538,1.32596E+12,207
5539,1.32596E+12,207
5540,1.32596E+12,204
5541,1.32596E+12,211
5542,1.32596E+12,200
5543,1.32596E+12,209
5544,1.32596E+12,207
5545,1.32596E+12,209
5546,1.32596E+12,205
5547,1.32596E+12,204
5548,1.32596E+12,205
5549,1.32596E+12,210
5550,1.32596E+12,202
5551,1.32596E+12,208
5552,1.32596E+12,204
5553,1.32596E+12,204
5554,1.32596E+12,206
5555,1.32596E+12,209
5556,1.32596E+12,203
5557,1.32596E+12,210
5558,1.32596E+12,202
5559,1.32596E+12,209
5560,1.32596E+12,204
5561,1.32596E+12,203
5562,1.32596E+12,208
5563,1.32596E+12,206
5564,1.32596E+12,204
5565,1.32596E+12,205
5566,1.32596E+12,205
5567,1.32596E+12,210
5568,1.32596E+12,204
5569,1.32596E+12,212
5570,1.32596E+12,203
5571,1.32596E+12,207
5572,1.32596E+12,204
5573,1.32596E+12,209
5574,1.32596E+12,202
5575,1.32596E+12,210
5576,1.32596E+12,202
5577,1.32596E+12,210
5578,1.32596E+12,204
5579,1.32596E+12,205
5580,1.32596E+12,209
5581,1.32596E+12,211
5582,1.32596E+12,199
5583,1.32596E+12,209
5584,1.32596E+12,202
5585,1.32596E+12,209
5586,1.32596E+12,207
5587,1.32596E+12,207
5588,1.32596E+12,205
5589,1.32596E+12,210
5590,1.32596E+12,199
5591,1.32596E+12,209
5592,1.32596E+12,207
5593,1.32596E+12,208
5594,1.32596E+12,206
5595,1.32596E+12,208
5596,1.32596E+12,200
5597,1.32596E+12,210
5598,1.32596E+12,204
5599,1.32596E+12,209
5600,1.32596E+12,205
5601,1.32596E+12,206
5602,1.32596E+12,205
5603,1.32596E+12,209
5604,1.32596E+12,204
5605,1.32596E+12,210
5606,1.32596E+12,207
5607,1.32596E+12,205
5608,1.32596E+12,204
5609,1.32596E+12,205
5610,1.32596E+12,209
5611,1.32596E+12,211
5612,1.32596E+12,200
5613,1.32596E+12,209
5614,1.32596E+12,202
5615,1.32596E+12,209
5616,1.32596E+12,207
5617,1.32596E+12,207
5618,1.32596E+12,205
5619,1.32596E+12,210
5620,1.32596E+12,201
5621,1.32596E+12,208
5622,1.32596E+12,207
5623,1.32596E+12,208
5624,1.32596E+12,206
5625,1.32596E+12,208
