Sample,X(ms) [09.01.2026 19:11:13 127 UTC],"DB_Measuring.CycleTime_ms"
5058,1767985861948.426519,1
5059,1767985861949.505519,1
5060,1767985861950.525519,1
5061,1767985861951.531519,1
5062,1767985861952.555519,1
5063,1767985861953.626519,1
5064,1767985861954.628519,1
5065,1767985861955.633519,1
5066,1767985861956.668519,1
5067,1767985861957.693519,1
5068,1767985861958.709519,1
5069,1767985861959.749519,1
5070,1767985861960.762519,1
5071,1767985861961.796519,1
5072,1767985861962.817519,1
5073,1767985861963.837519,1
5074,1767985861964.865519,1
5075,1767985861965.885519,1
5076,1767985861966.907519,1
5077,1767985861967.936519,1
5078,1767985861968.954519,1
5079,1767985861969.982519,1
5080,1767985861971.012519,1
5081,1767985861972.029519,1
5082,1767985861973.055519,1
5083,1767985861974.079519,1
5084,1767985861975.106519,1
5085,1767985861976.126519,1
5086,1767985861977.147519,1
5087,1767985861978.164519,1
5088,1767985861979.188519,1
5089,1767985861980.215519,1
5090,1767985861981.239519,1
5091,1767985861982.278519,1
5092,1767985861983.306519,1
5093,1767985861984.338519,1
5094,1767985861985.403519,1
5095,1767985861986.421519,1
5096,1767985861987.428519,1
5097,1767985861988.478519,1
5098,1767985861989.555519,1
5099,1767985861990.532519,1
5100,1767985861991.552519,1
5101,1767985861992.629519,1
5102,1767985861993.684519,1
5103,1767985861995.718519,2
5104,1767985861996.755519,1
5105,1767985861997.808519,1
5106,1767985861998.890519,1
5107,1767985861999.970519,1
5108,1767985862001.066519,1
5109,1767985862002.082519,1
5110,1767985862003.480519,1
5111,1767985862004.105519,1
5112,1767985862005.125519,1
5113,1767985862006.145519,1
5114,1767985862007.167519,1
5115,1767985862008.197519,1
5116,1767985862009.223519,1
5117,1767985862010.251519,1
5118,1767985862011.273519,1
5119,1767985862012.289519,1
5120,1767985862013.323519,1
5121,1767985862014.350519,1
5122,1767985862015.405519,1
5123,1767985862016.438519,1
5124,1767985862017.497519,1
5125,1767985862018.503519,1
5126,1767985862019.516519,1
5127,1767985862020.549519,1
5128,1767985862021.599519,1
5129,1767985862022.609519,1
5130,1767985862023.629519,1
5131,1767985862024.677519,1
5132,1767985862025.677519,1
5133,1767985862026.693519,1
5134,1767985862027.711519,1
5135,1767985862028.778519,1
5136,1767985862029.802519,1
5137,1767985862030.816519,1
5138,1767985862031.844519,1
5139,1767985862033.887519,1
5140,1767985862034.975519,1
5141,1767985862035.973519,1
5142,1767985862037.070519,1
5143,1767985862037.418519,0
5144,1767985862038.737519,1
5145,1767985862039.607519,1
5146,1767985862040.646519,1
5147,1767985862041.690519,1
5148,1767985862042.707519,1
5149,1767985862043.770519,1
5150,1767985862044.750519,1
5151,1767985862045.786519,1
5152,1767985862046.807519,1
5153,1767985862047.855519,1
5154,1767985862048.871519,1
5155,1767985862049.897519,1
5156,1767985862050.917519,1
5157,1767985862051.950519,1
5158,1767985862052.972519,1
5159,1767985862053.997519,1
5160,1767985862055.025519,1
5161,1767985862056.052519,1
5162,1767985862057.069519,1
5163,1767985862058.098519,1
5164,1767985862059.792519,1
5165,1767985862060.772519,1
5166,1767985862061.204519,1
5167,1767985862062.253519,1
5168,1767985862064.234519,1
5169,1767985862065.324519,1
5170,1767985862066.424519,1
5171,1767985862067.526519,1
5172,1767985862068.738519,1
5173,1767985862069.744519,1
5174,1767985862070.737519,1
5175,1767985862071.761519,1
5176,1767985862072.794519,1
5177,1767985862073.819519,1
5178,1767985862074.842519,1
5179,1767985862075.863519,1
5180,1767985862076.885519,1
5181,1767985862077.908519,1
5182,1767985862078.938519,1
5183,1767985862079.963519,1
5184,1767985862080.978519,1
5185,1767985862082.019519,1
5186,1767985862083.049519,1
5187,1767985862084.080519,1
5188,1767985862085.109519,1
5189,1767985862086.140519,1
5190,1767985862087.166519,1
5191,1767985862088.187519,1
5192,1767985862089.216519,1
5193,1767985862090.295519,1
5194,1767985862091.278519,1
5195,1767985862092.303519,1
5196,1767985862093.327519,1
5197,1767985862094.342519,1
5198,1767985862095.394519,1
5199,1767985862096.432519,1
5200,1767985862097.477519,1
5201,1767985862098.485519,1
5202,1767985862099.512519,1
5203,1767985862100.530519,1
5204,1767985862101.607519,1
5205,1767985862102.576519,1
5206,1767985862103.617519,1
5207,1767985862104.633519,1
5208,1767985862105.680519,1
5209,1767985862106.698519,1
5210,1767985862107.728519,1
5211,1767985862108.742519,1
5212,1767985862109.770519,1
5213,1767985862110.783519,1
5214,1767985862111.827519,1
5215,1767985862112.853519,1
5216,1767985862113.878519,1
5217,1767985862114.900519,1
5218,1767985862115.925519,1
5219,1767985862116.956519,1
5220,1767985862118.002519,1
5221,1767985862119.002519,1
5222,1767985862120.026519,1
5223,1767985862121.078519,1
5224,1767985862122.107519,1
5225,1767985862123.131519,1
5226,1767985862124.775519,1
5227,1767985862125.184519,1
5228,1767985862126.234519,1
5229,1767985862127.282519,1
5230,1767985862128.324519,1
5231,1767985862129.418519,1
5232,1767985862130.456519,1
5233,1767985862131.546519,1
5234,1767985862132.592519,1
5235,1767985862133.680519,1
5236,1767985862134.726519,1
5237,1767985862135.911519,1
5238,1767985862136.908519,1
5239,1767985862137.940519,1
5240,1767985862138.973519,1
5241,1767985862139.988519,1
5242,1767985862141.019519,1
5243,1767985862142.047519,1
5244,1767985862143.077519,1
5245,1767985862144.097519,1
5246,1767985862145.124519,1
5247,1767985862146.149519,1
5248,1767985862147.176519,1
5249,1767985862148.196519,1
