Sample,X(ms) [06.11.2025 10:37:46 132 UTC],"DB_Measuring.CycleTime_ms"
1685,1762425429937.467365,1
1686,1762425429938.470971,1
1687,1762425429939.475691,1
1688,1762425429940.481443,1
1689,1762425429941.485476,1
1690,1762425429942.500647,1
1691,1762425429943.501412,1
1692,1762425429944.506215,1
1693,1762425429945.515174,1
1694,1762425429946.512010,1
1695,1762425429947.517456,1
1696,1762425429948.522273,1
1697,1762425429949.528289,1
1698,1762425429950.536661,1
1699,1762425429951.538046,1
1700,1762425429952.542811,1
1701,1762425429953.547334,1
1702,1762425429954.558609,1
1703,1762425429955.558571,1
1704,1762425429956.563077,1
1705,1762425429957.567008,1
1706,1762425429958.571969,1
1707,1762425429959.583750,1
1708,1762425429960.597881,1
1709,1762425429961.601607,1
1710,1762425429962.610068,1
1711,1762425429963.612525,1
1712,1762425429964.619624,1
1713,1762425429965.670473,1
1714,1762425429966.645122,1
1715,1762425429967.665991,1
1716,1762425429968.661488,1
1717,1762425429969.666018,1
1718,1762425429970.669967,1
1719,1762425429971.676416,1
1720,1762425429972.706317,1
1721,1762425429973.706521,1
1722,1762425429975.279094,1
1723,1762425429976.110572,1
1724,1762425429977.127954,1
1725,1762425429978.117993,1
1726,1762425429979.116910,1
1727,1762425429980.131140,1
1728,1762425429981.131161,1
1729,1762425429982.150203,1
1730,1762425429983.148756,1
1731,1762425429984.155817,1
1732,1762425429985.160285,1
1733,1762425429986.176898,1
1734,1762425429987.453993,1
1735,1762425429988.207378,1
1736,1762425429989.229631,1
1737,1762425429990.225629,1
1738,1762425429991.243649,1
1739,1762425429992.229166,1
1740,1762425429993.233596,1
1741,1762425429994.239519,1
1742,1762425429995.241006,1
1743,1762425429996.246331,1
1744,1762425429997.253297,1
1745,1762425429998.257454,1
1746,1762425429999.260971,1
1747,1762425430000.265398,1
1748,1762425430001.308459,1
1749,1762425430002.286437,1
1750,1762425430003.308656,1
1751,1762425430004.315835,1
1752,1762425430005.313736,1
1753,1762425430006.314967,1
1754,1762425430007.338646,1
1755,1762425430008.320722,1
1756,1762425430009.325776,1
1757,1762425430010.330277,1
1758,1762425430011.335768,1
1759,1762425430012.341597,1
1760,1762425430013.351978,1
1761,1762425430014.352934,1
1762,1762425430015.354884,1
1763,1762425430016.359231,1
1764,1762425430017.385543,1
1765,1762425430018.376277,1
1766,1762425430019.383613,1
1767,1762425430020.387347,1
1768,1762425430021.388212,1
1769,1762425430022.403368,1
1770,1762425430023.407304,1
1771,1762425430024.415843,1
1772,1762425430025.426896,1
1773,1762425430026.430249,1
1774,1762425430027.429640,1
1775,1762425430028.435376,1
1776,1762425430029.437651,1
1777,1762425430030.450725,1
1778,1762425430031.475298,1
1779,1762425430032.513532,1
1780,1762425430033.486687,1
1781,1762425430034.653535,1
1782,1762425430035.504892,1
1783,1762425430036.522402,1
1784,1762425430037.507284,1
1785,1762425430038.514660,1
1786,1762425430039.521604,1
1787,1762425430040.522281,1
1788,1762425430041.533656,1
1789,1762425430042.549102,1
1790,1762425430043.548653,1
1791,1762425430044.555714,1
1792,1762425430045.569551,1
1793,1762425430046.574313,1
1794,1762425430047.629090,1
1795,1762425430048.605272,1
1796,1762425430049.610005,1
1797,1762425430050.613262,1
1798,1762425430051.620040,1
1799,1762425430052.624262,1
1800,1762425430053.627816,1
1801,1762425430054.634329,1
1802,1762425430055.639985,1
1803,1762425430056.644424,1
1804,1762425430057.650044,1
1805,1762425430058.652547,1
1806,1762425430059.659789,1
1807,1762425430060.660301,1
1808,1762425430061.667048,1
1809,1762425430062.694731,1
1810,1762425430063.677775,1
1811,1762425430064.710730,1
1812,1762425430065.694583,1
1813,1762425430066.722942,1
1814,1762425430067.709863,1
1815,1762425430068.712599,1
1816,1762425430069.714079,1
1817,1762425430070.718664,1
1818,1762425430071.721874,1
1819,1762425430072.726291,1
1820,1762425430073.730339,1
1821,1762425430074.739753,1
1822,1762425430075.755433,1
1823,1762425430076.754142,1
1824,1762425430077.825627,1
1825,1762425430078.778152,1
1826,1762425430079.779881,1
1827,1762425430080.785070,1
1828,1762425430081.794336,1
1829,1762425430082.800556,1
1830,1762425430083.806884,1
1831,1762425430084.813583,1
1832,1762425430085.819989,1
1833,1762425430086.822952,1
1834,1762425430087.827945,1
1835,1762425430088.835468,1
1836,1762425430089.845581,1
1837,1762425430090.859973,1
1838,1762425430091.851213,1
1839,1762425430093.085762,1
1840,1762425430094.044229,1
1841,1762425430095.064224,1
1842,1762425430096.054069,1
1843,1762425430097.057315,1
1844,1762425430098.059512,1
1845,1762425430099.067738,1
1846,1762425430100.073785,1
1847,1762425430101.083731,1
1848,1762425430102.086473,1
1849,1762425430103.089858,1
1850,1762425430104.090442,1
1851,1762425430105.095617,1
1852,1762425430106.174099,1
1853,1762425430107.159519,1
1854,1762425430108.160855,1
1855,1762425430109.165225,1
1856,1762425430110.173970,1
1857,1762425430111.181744,1
1858,1762425430112.190049,1
1859,1762425430113.189116,1
1860,1762425430114.196558,1
1861,1762425430115.205859,1
1862,1762425430116.214554,1
1863,1762425430117.219478,1
1864,1762425430118.227548,1
1865,1762425430119.326893,1
1866,1762425430120.266053,1
1867,1762425430121.253584,1
1868,1762425430122.280155,1
1869,1762425430123.261029,1
1870,1762425430124.263137,1
1871,1762425430125.269321,1
1872,1762425430126.272692,1
1873,1762425430127.285611,1
1874,1762425430128.295192,1
1875,1762425430129.293325,1
1876,1762425430130.301178,1
